passport_id,manufacturer,battery_type,capacity_kwh,production_date,soh,soc,total_cycles,temperature_celsius,health_status,timestamp,data_source,degradation_per_cycle,temperature_status
EV-BATT-20260711-00011,BYD,Li-ion NCM,62.22,2024-12-18,90.52,75.02,165,22.62,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.05710843373493978,OPTIMAL
EV-BATT-20260711-00012,Panasonic,Li-ion NCA,55.5,2023-09-25,84.94,78.52,405,17.85,GOOD,2026-07-11 06:22:36.871755,simulated,0.037093596059113304,OPTIMAL
EV-BATT-20260711-00013,BYD,Li-ion NCA,87.7,2022-12-29,77.38,66.87,469,26.54,FAIR,2026-07-11 06:22:36.871755,simulated,0.048127659574468094,OPTIMAL
EV-BATT-20260711-00014,BYD,Li-ion NCA,70.52,2023-07-27,83.8,88.31,336,30.42,GOOD,2026-07-11 06:22:36.871755,simulated,0.04807121661721069,OPTIMAL
EV-BATT-20260711-00015,Tesla,Li-poly,90.95,2022-12-29,78.6,72.12,520,32.84,FAIR,2026-07-11 06:22:36.871755,simulated,0.04107485604606527,OPTIMAL
EV-BATT-20260711-00016,CATL,Li-ion LFP,84.88,2024-03-23,85.28,64.37,294,30.38,GOOD,2026-07-11 06:22:36.871755,simulated,0.049898305084745756,OPTIMAL
EV-BATT-20260711-00017,Panasonic,Li-ion LFP,50.52,2024-11-18,92.19,22.76,137,26.19,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.056594202898550744,OPTIMAL
EV-BATT-20260711-00018,BYD,Li-ion NCA,66.08,2021-10-05,71.62,78.3,612,26.9,FAIR,2026-07-11 06:22:36.871755,simulated,0.0462969004893964,OPTIMAL
EV-BATT-20260711-00019,Panasonic,Li-ion LFP,65.76,2022-09-30,80.39,56.8,446,28.2,GOOD,2026-07-11 06:22:36.871755,simulated,0.04387024608501119,OPTIMAL
EV-BATT-20260711-00020,LG,Li-ion NCM,52.21,2022-11-29,77.38,51.43,487,20.27,FAIR,2026-07-11 06:22:36.871755,simulated,0.046352459016393455,OPTIMAL
EV-BATT-20260711-00021,Panasonic,Li-ion NCM,78.04,2021-12-04,70.0,61.1,549,24.42,FAIR,2026-07-11 06:22:36.871755,simulated,0.05454545454545454,OPTIMAL
EV-BATT-20260711-00022,CATL,Li-ion LFP,66.5,2022-11-29,79.01,54.11,383,29.67,FAIR,2026-07-11 06:22:36.871755,simulated,0.05466145833333332,OPTIMAL
EV-BATT-20260711-00023,CATL,Li-ion LFP,74.91,2024-04-22,84.64,65.51,254,36.08,GOOD,2026-07-11 06:22:36.871755,simulated,0.060235294117647054,LOW
EV-BATT-20260711-00024,LG,Li-ion NCM,88.58,2021-11-04,67.95,50.19,489,36.7,DEGRADED,2026-07-11 06:22:36.871755,simulated,0.06540816326530612,LOW
EV-BATT-20260711-00025,Panasonic,Li-ion LFP,91.78,2024-08-20,89.2,63.42,243,32.71,GOOD,2026-07-11 06:22:36.871755,simulated,0.044262295081967204,OPTIMAL
EV-BATT-20260711-00026,LG,Li-ion NCM,74.32,2023-10-25,84.22,42.59,274,27.67,GOOD,2026-07-11 06:22:36.880772,simulated,0.05738181818181819,OPTIMAL
EV-BATT-20260711-00027,BYD,Li-poly,67.59,2024-10-19,88.85,54.2,309,24.54,GOOD,2026-07-11 06:22:36.880772,simulated,0.03596774193548389,OPTIMAL
EV-BATT-20260711-00028,Samsung,Li-ion NCM,63.99,2022-07-02,74.81,40.7,535,26.23,FAIR,2026-07-11 06:22:36.880772,simulated,0.04699626865671641,OPTIMAL
EV-BATT-20260711-00029,LG,Li-ion NCM,90.63,2023-08-26,78.01,13.09,346,35.16,FAIR,2026-07-11 06:22:36.880772,simulated,0.06337175792507203,LOW
EV-BATT-20260711-00030,Panasonic,Li-ion LFP,50.11,2021-11-04,72.08,80.93,535,26.67,FAIR,2026-07-11 06:22:36.880772,simulated,0.05208955223880597,OPTIMAL
EV-BATT-20260711-00031,Samsung,Li-ion NCA,83.09,2023-07-27,77.83,86.08,385,22.44,FAIR,2026-07-11 06:22:36.880772,simulated,0.05743523316062177,OPTIMAL
EV-BATT-20260711-00032,CATL,Li-ion NCA,84.18,2025-02-16,89.77,87.8,155,30.6,GOOD,2026-07-11 06:22:36.880772,simulated,0.0655769230769231,OPTIMAL
EV-BATT-20260711-00033,Panasonic,Li-ion LFP,51.82,2025-12-13,95.21,12.14,100,18.61,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.04742574257425749,OPTIMAL
EV-BATT-20260711-00034,Tesla,Li-ion NCM,67.95,2022-09-30,77.2,27.74,442,23.23,FAIR,2026-07-11 06:22:36.880772,simulated,0.05146726862302482,OPTIMAL
EV-BATT-20260711-00035,Tesla,Solid-State,66.46,2023-07-27,80.65,44.69,406,21.79,GOOD,2026-07-11 06:22:36.880772,simulated,0.04754299754299753,OPTIMAL
EV-BATT-20260711-00036,Samsung,Li-ion NCA,72.18,2025-08-15,93.0,48.0,61,17.08,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.11290322580645161,OPTIMAL
EV-BATT-20260711-00037,Panasonic,Li-poly,96.18,2024-08-20,86.55,27.61,133,24.85,GOOD,2026-07-11 06:22:36.880772,simulated,0.10037313432835823,OPTIMAL
EV-BATT-20260711-00038,BYD,Li-ion LFP,61.4,2021-11-04,71.88,44.12,573,26.6,FAIR,2026-07-11 06:22:36.880772,simulated,0.04898954703832754,OPTIMAL
EV-BATT-20260711-00039,Tesla,Solid-State,58.12,2023-02-27,78.16,23.94,482,35.61,FAIR,2026-07-11 06:22:36.880772,simulated,0.045217391304347834,LOW
EV-BATT-20260711-00040,CATL,Solid-State,76.75,2022-03-04,73.11,86.56,567,19.33,FAIR,2026-07-11 06:22:36.880772,simulated,0.04734154929577465,OPTIMAL
EV-BATT-20260711-00041,BYD,Solid-State,87.1,2023-01-28,74.18,59.76,410,37.38,FAIR,2026-07-11 06:22:36.880772,simulated,0.06282238442822383,LOW
EV-BATT-20260711-00042,Panasonic,Solid-State,96.8,2024-07-21,89.66,45.83,211,23.56,GOOD,2026-07-11 06:22:36.880772,simulated,0.048773584905660396,OPTIMAL
EV-BATT-20260711-00043,LG,Li-poly,79.15,2026-02-11,94.58,51.45,44,34.67,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.12044444444444448,OPTIMAL
EV-BATT-20260711-00044,CATL,Li-ion NCA,53.48,2025-10-14,94.31,70.85,138,19.4,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.04093525179856113,OPTIMAL
EV-BATT-20260711-00045,Samsung,Li-ion NCM,98.86,2023-02-27,78.08,82.66,467,23.16,FAIR,2026-07-11 06:22:36.880772,simulated,0.04683760683760684,OPTIMAL
EV-BATT-20260711-00046,Panasonic,Li-ion LFP,64.39,2022-01-03,71.9,87.07,566,27.07,FAIR,2026-07-11 06:22:36.880772,simulated,0.049559082892416215,OPTIMAL
EV-BATT-20260711-00047,LG,Li-ion LFP,61.01,2024-10-19,91.75,67.7,210,27.24,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.03909952606635071,OPTIMAL
EV-BATT-20260711-00048,Samsung,Solid-State,75.57,2024-07-21,88.14,84.74,253,27.46,GOOD,2026-07-11 06:22:36.880772,simulated,0.04669291338582677,OPTIMAL
EV-BATT-20260711-00049,Tesla,Solid-State,95.45,2024-03-23,87.34,59.47,294,29.39,GOOD,2026-07-11 06:22:36.880772,simulated,0.04291525423728813,OPTIMAL
EV-BATT-20260711-00050,Samsung,Li-ion NCM,57.68,2025-03-18,92.07,34.53,187,33.24,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.04218085106382982,OPTIMAL
EV-BATT-20260711-00051,Samsung,Li-ion LFP,85.72,2023-04-28,81.52,67.79,427,35.68,GOOD,2026-07-11 06:22:36.880772,simulated,0.043177570093457955,LOW
EV-BATT-20260711-00052,BYD,Li-ion NCA,51.23,2024-08-20,91.16,62.21,169,28.89,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.05200000000000002,OPTIMAL
EV-BATT-20260711-00053,Panasonic,Li-ion NCA,61.48,2026-03-13,96.54,53.94,50,33.77,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.06784313725490183,OPTIMAL
EV-BATT-20260711-00054,Samsung,Solid-State,59.73,2023-04-28,79.79,30.28,461,33.32,FAIR,2026-07-11 06:22:36.880772,simulated,0.04374458874458873,OPTIMAL
EV-BATT-20260711-00055,CATL,Li-ion NCM,90.3,2025-06-16,95.79,64.14,108,33.42,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.03862385321100912,OPTIMAL
EV-BATT-20260711-00056,LG,Li-ion LFP,70.89,2023-12-24,83.77,68.8,335,36.68,GOOD,2026-07-11 06:22:36.880772,simulated,0.04830357142857144,LOW
EV-BATT-20260711-00057,Tesla,Li-ion NCM,79.99,2026-05-12,100.0,58.08,3,23.49,EXCELLENT,2026-07-11 06:22:36.880772,simulated,0.0,OPTIMAL
EV-BATT-20260711-00058,CATL,Li-ion NCA,69.0,2023-05-28,82.37,78.57,481,27.44,GOOD,2026-07-11 06:22:36.880772,simulated,0.03657676348547717,OPTIMAL
EV-BATT-20260711-00059,Panasonic,Li-ion LFP,50.83,2025-02-16,92.82,88.23,232,23.5,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.030815450643776852,OPTIMAL
EV-BATT-20260711-00060,Tesla,Solid-State,86.87,2026-02-11,99.38,32.23,24,32.21,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.024800000000000183,OPTIMAL
EV-BATT-20260711-00061,BYD,Solid-State,94.69,2022-04-03,73.17,78.87,496,36.76,FAIR,2026-07-11 06:22:36.882778,simulated,0.05398390342052314,LOW
EV-BATT-20260711-00062,Tesla,Li-ion NCM,90.66,2022-12-29,79.98,80.46,394,33.07,FAIR,2026-07-11 06:22:36.882778,simulated,0.050683544303797456,OPTIMAL
EV-BATT-20260711-00063,Samsung,Li-ion NCA,99.35,2024-05-22,89.5,83.0,354,32.47,GOOD,2026-07-11 06:22:36.882778,simulated,0.029577464788732393,OPTIMAL
EV-BATT-20260711-00064,Panasonic,Li-ion NCA,70.62,2022-02-02,76.18,38.43,512,25.32,FAIR,2026-07-11 06:22:36.882778,simulated,0.04643274853801168,OPTIMAL
EV-BATT-20260711-00065,BYD,Li-poly,95.56,2022-01-03,74.96,67.52,546,27.5,FAIR,2026-07-11 06:22:36.882778,simulated,0.04577696526508228,OPTIMAL
EV-BATT-20260711-00066,BYD,Li-poly,85.68,2025-09-14,91.26,56.69,130,26.2,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.06671755725190835,OPTIMAL
EV-BATT-20260711-00067,BYD,Li-ion NCA,82.94,2025-12-13,94.77,61.47,63,33.66,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.08171875000000006,OPTIMAL
EV-BATT-20260711-00068,Samsung,Li-ion NCM,91.47,2025-05-17,92.51,89.38,97,21.33,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.07642857142857137,OPTIMAL
EV-BATT-20260711-00069,Tesla,Li-ion NCA,99.61,2022-12-29,78.39,27.87,426,32.96,FAIR,2026-07-11 06:22:36.882778,simulated,0.05060889929742388,OPTIMAL
EV-BATT-20260711-00070,CATL,Li-ion NCA,70.21,2025-04-17,92.19,26.57,240,29.76,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.03240663900414939,OPTIMAL
EV-BATT-20260711-00071,Samsung,Li-ion LFP,50.03,2023-11-24,82.61,56.25,457,25.64,GOOD,2026-07-11 06:22:36.882778,simulated,0.03796943231441048,OPTIMAL
EV-BATT-20260711-00072,Tesla,Solid-State,91.43,2023-03-29,84.81,54.6,487,22.58,GOOD,2026-07-11 06:22:36.882778,simulated,0.031127049180327864,OPTIMAL
EV-BATT-20260711-00073,Panasonic,Li-ion LFP,67.25,2024-09-19,85.73,56.24,179,32.32,GOOD,2026-07-11 06:22:36.882778,simulated,0.07927777777777775,OPTIMAL
EV-BATT-20260711-00074,BYD,Solid-State,81.54,2024-06-21,88.3,63.77,186,30.59,GOOD,2026-07-11 06:22:36.882778,simulated,0.0625668449197861,OPTIMAL
EV-BATT-20260711-00075,Panasonic,Li-ion NCA,88.6,2026-06-11,97.6,55.88,85,30.76,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.027906976744186112,OPTIMAL
EV-BATT-20260711-00076,Panasonic,Li-poly,92.43,2023-10-25,79.95,31.72,313,21.08,FAIR,2026-07-11 06:22:36.882778,simulated,0.06385350318471336,OPTIMAL
EV-BATT-20260711-00077,Samsung,Li-ion NCA,65.92,2022-04-03,74.78,17.55,539,21.29,FAIR,2026-07-11 06:22:36.882778,simulated,0.0467037037037037,OPTIMAL
EV-BATT-20260711-00078,Tesla,Li-poly,65.02,2025-06-16,92.48,76.0,166,28.72,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.045029940119760456,OPTIMAL
EV-BATT-20260711-00079,Panasonic,Li-ion LFP,85.98,2024-01-23,87.23,87.09,296,25.95,GOOD,2026-07-11 06:22:36.882778,simulated,0.042996632996632984,OPTIMAL
EV-BATT-20260711-00080,Tesla,Li-ion LFP,56.54,2021-12-04,73.5,62.0,566,31.38,FAIR,2026-07-11 06:22:36.882778,simulated,0.04673721340388007,OPTIMAL
EV-BATT-20260711-00081,Tesla,Li-ion LFP,73.19,2024-03-23,84.48,23.98,252,21.73,GOOD,2026-07-11 06:22:36.882778,simulated,0.06134387351778654,OPTIMAL
EV-BATT-20260711-00082,Panasonic,Li-ion NCA,74.89,2022-06-02,73.37,20.65,523,28.43,FAIR,2026-07-11 06:22:36.882778,simulated,0.05082061068702289,OPTIMAL
EV-BATT-20260711-00083,LG,Li-ion NCM,58.46,2025-02-16,89.46,67.06,151,23.32,GOOD,2026-07-11 06:22:36.882778,simulated,0.06934210526315794,OPTIMAL
EV-BATT-20260711-00084,CATL,Li-ion LFP,95.32,2026-04-12,97.63,65.19,74,23.37,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.03160000000000006,OPTIMAL
EV-BATT-20260711-00085,Tesla,Li-ion NCA,63.58,2026-03-13,95.58,11.28,40,29.13,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.10780487804878053,OPTIMAL
EV-BATT-20260711-00086,Samsung,Li-ion NCA,98.42,2024-05-22,86.57,24.44,226,34.3,GOOD,2026-07-11 06:22:36.882778,simulated,0.059162995594713684,OPTIMAL
EV-BATT-20260711-00087,CATL,Li-ion LFP,87.64,2025-03-18,93.76,57.68,289,25.19,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.021517241379310326,OPTIMAL
EV-BATT-20260711-00088,BYD,Li-ion LFP,89.23,2022-04-03,73.58,59.28,548,24.2,FAIR,2026-07-11 06:22:36.882778,simulated,0.04812386156648452,OPTIMAL
EV-BATT-20260711-00089,LG,Li-ion NCA,68.88,2025-06-16,93.51,71.03,205,21.53,EXCELLENT,2026-07-11 06:22:36.882778,simulated,0.031504854368932016,OPTIMAL
EV-BATT-20260711-00090,LG,Solid-State,52.9,2024-12-18,87.1,13.52,170,29.77,GOOD,2026-07-11 06:22:36.884783,simulated,0.0754385964912281,OPTIMAL
EV-BATT-20260711-00091,Samsung,Li-ion NCA,66.1,2026-07-11,100.0,59.95,0,34.23,EXCELLENT,2026-07-11 06:22:36.884783,simulated,0.0,OPTIMAL
EV-BATT-20260711-00092,Samsung,Li-ion LFP,72.87,2024-10-19,89.44,46.33,165,26.6,GOOD,2026-07-11 06:22:36.884783,simulated,0.06361445783132531,OPTIMAL
EV-BATT-20260711-00093,Samsung,Li-poly,83.42,2025-02-16,89.58,70.97,119,24.22,GOOD,2026-07-11 06:22:36.884783,simulated,0.08683333333333335,OPTIMAL
EV-BATT-20260711-00094,LG,Solid-State,73.84,2025-09-14,94.52,68.33,147,34.7,EXCELLENT,2026-07-11 06:22:36.884783,simulated,0.03702702702702705,OPTIMAL
EV-BATT-20260711-00095,Samsung,Solid-State,63.23,2024-08-20,85.64,20.05,202,32.82,GOOD,2026-07-11 06:22:36.884783,simulated,0.07073891625615764,OPTIMAL
EV-BATT-20260711-00096,Samsung,Li-ion LFP,82.28,2021-09-05,72.55,38.31,519,31.54,FAIR,2026-07-11 06:22:36.884783,simulated,0.05278846153846154,OPTIMAL
EV-BATT-20260711-00097,Panasonic,Solid-State,91.84,2025-08-15,95.87,32.18,173,23.73,EXCELLENT,2026-07-11 06:22:36.884783,simulated,0.02373563218390802,OPTIMAL
EV-BATT-20260711-00098,BYD,Li-ion NCA,69.97,2024-02-22,85.27,41.19,268,28.98,GOOD,2026-07-11 06:22:36.884783,simulated,0.054758364312267674,OPTIMAL
EV-BATT-20260711-00099,LG,Li-ion NCM,92.03,2026-06-11,98.51,76.3,38,30.29,EXCELLENT,2026-07-11 06:22:36.884783,simulated,0.03820512820512807,OPTIMAL
